waypoint1	waypoint2	distance_m	duration_s
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Palace of Westminster, London, United Kingdom"	1359218	48509
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Piazza San Pietro, Vatican City"	4102	777
"Place du Palais, Monaco-Ville, Monaco"	"Castle Hill, Nice, France"	19835	2256
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	889462	33549
"Place de la Bourse, Bordeaux, France"	"Promenade des Anglais, Nice, France"	801450	26027
"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	"Grauwallring 2, 27580, Bremerhaven, Germany"	846008	28326
"Palace of Westminster, London, United Kingdom"	"Andorra la Vella, Andorra"	1311356	48928
"Piazza San Pietro, Vatican City"	"Promenade des Anglais, Nice, France"	699517	26515
"Piazza San Pietro, Vatican City"	"Andorra la Vella, Andorra"	1337359	50573
"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	"Port Hercule, Monte Carlo, Monaco"	690203	26271
"Pantheon, Piazza della Rotonda, Rome, Italy"	"Promenade des Anglais, Nice, France"	699882	26685
"Vernazza, Province of La Spezia, Italy"	"Castle Hill, Nice, France"	292613	14129
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Piazza della Signoria, Florence, Italy"	999265	35985
"Castle Hill, Nice, France"	"Port Hercule, Monte Carlo, Monaco"	19753	2247
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Eiffel Tower, Avenue Anatole France, Paris, France"	913410	31204
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Oberstdorf, Germany"	934481	34374
"Place du Palais, Monaco-Ville, Monaco"	"Piazza San Pietro, Vatican City"	687173	25951
